Date,call_count
2018-05-17,8177.0
2018-05-18,7394.0
2018-05-19,5490.0
2018-05-20,6398.0
2018-05-21,8323.0
2018-05-22,7707.0
2018-05-23,8326.0
2018-05-24,8450.0
2018-05-25,7946.0
2018-05-26,6298.0
2018-05-27,5005.0
2018-05-28,5902.0
2018-05-29,8925.0
2018-05-30,8174.0
2018-05-31,8099.0
2018-06-01,7663.0
2018-06-02,6457.0
2018-06-03,5844.0
2018-06-04,8305.0
2018-06-05,8591.0
2018-06-06,8204.0
2018-06-07,8262.0
2018-06-08,8342.0
2018-06-09,6869.0
2018-06-10,6240.0
2018-06-11,8351.0
2018-06-12,8711.0
2018-06-13,8049.0
2018-06-14,8427.0
2018-06-15,7499.0
2018-06-16,6990.0
2018-06-17,7097.0
2018-06-18,8425.0
2018-06-19,8801.0
2018-06-20,8270.0
2018-06-21,8147.0
2018-06-22,7553.0
2018-06-23,6666.0
2018-06-24,6631.0
2018-06-25,8723.0
2018-06-26,8353.0
2018-06-27,7633.0
2018-06-28,7885.0
2018-06-29,7508.0
2018-06-30,6555.0
2018-07-01,6447.0
2018-07-02,8453.0
2018-07-03,7759.0
2018-07-04,6225.0
2018-07-05,8891.0
2018-07-06,7730.0
2018-07-07,6604.0
2018-07-08,6448.0
2018-07-09,8134.0
2018-07-10,8275.0
2018-07-11,7901.0
2018-07-12,8506.0
2018-07-13,7898.0
2018-07-14,6414.0
2018-07-15,5890.0
2018-07-16,8708.0
2018-07-17,8066.0
2018-07-18,8691.0
2018-07-19,8351.0
2018-07-20,7585.0
2018-07-21,5653.0
2018-07-22,5836.0
2018-07-23,8665.0
2018-07-24,8357.0
2018-07-25,7707.0
2018-07-26,8213.0
2018-07-27,7572.0
2018-07-28,6443.0
2018-07-29,6655.0
2018-07-30,8753.0
2018-07-31,8404.0
2018-08-01,7669.0
2018-08-02,7752.0
2018-08-03,7673.0
2018-08-04,6008.0
2018-08-05,6009.0
2018-08-06,8805.0
2018-08-07,8442.0
2018-08-08,8580.0
2018-08-09,8051.0
2018-08-10,7993.0
2018-08-11,5714.0
2018-08-12,5940.0
2018-08-13,8150.0
2018-08-14,7987.0
2018-08-15,8413.0
2018-08-16,7987.0
2018-08-17,7571.0
2018-08-18,5902.0
2018-08-19,5609.0
2018-08-20,8302.0
2018-08-21,8038.0
2018-08-22,7564.0
2018-08-23,7785.0
2018-08-24,7647.0
2018-08-25,6588.0
2018-08-26,6401.0
2018-08-27,8360.0
2018-08-28,8252.0
2018-08-29,8809.0
2018-08-30,8191.0
2018-08-31,7220.0
2018-09-01,5593.0
2018-09-02,6077.0
2018-09-03,5961.0
2018-09-04,8484.0
2018-09-05,8278.0
2018-09-06,8967.0
2018-09-07,8396.0
2018-09-08,6292.0
2018-09-09,4950.0
2018-09-10,7298.0
2018-09-11,8159.0
2018-09-12,8551.0
2018-09-13,8981.0
2018-09-14,9046.0
2018-09-15,6996.0
2018-09-16,6614.0
2018-09-17,8379.0
2018-09-18,8180.0
2018-09-19,7780.0
2018-09-20,8169.0
2018-09-21,8079.0
2018-09-22,6593.0
2018-09-23,6343.0
2018-09-24,7819.0
2018-09-25,7532.0
2018-09-26,8771.0
2018-09-27,8113.0
2018-09-28,8161.0
2018-09-29,6876.0
2018-09-30,6836.0
2018-10-01,8375.0
2018-10-02,8082.0
2018-10-03,7905.0
2018-10-04,7839.0
2018-10-05,7574.0
2018-10-06,6071.0
2018-10-07,6178.0
2018-10-08,6448.0
2018-10-09,8430.0
2018-10-10,8483.0
2018-10-11,8100.0
2018-10-12,8113.0
2018-10-13,6548.0
2018-10-14,6586.0
2018-10-15,8830.0
2018-10-16,10130.0
2018-10-17,9987.0
2018-10-18,10311.0
2018-10-19,8665.0
2018-10-20,6272.0
2018-10-21,6813.0
2018-10-22,9928.0
2018-10-23,8685.0
2018-10-24,8908.0
2018-10-25,8579.0
2018-10-26,8381.0
2018-10-27,6549.0
2018-10-28,6075.0
2018-10-29,8585.0
2018-10-30,8375.0
2018-10-31,8129.0
2018-11-01,7576.0
2018-11-02,6975.0
2018-11-03,5841.0
2018-11-04,5687.0
2018-11-05,7624.0
2018-11-06,6682.0
2018-11-07,7926.0
2018-11-08,8138.0
2018-11-09,7468.0
2018-11-10,6524.0
2018-11-11,5883.0
2018-11-12,6746.0
2018-11-13,8762.0
2018-11-14,8960.0
2018-11-15,9897.0
2018-11-16,10663.0
2018-11-17,6859.0
2018-11-18,6085.0
2018-11-19,8303.0
2018-11-20,7845.0
2018-11-21,7525.0
2018-11-22,5701.0
2018-11-23,7797.0
2018-11-24,5798.0
2018-11-25,6035.0
2018-11-26,8840.0
2018-11-27,8908.0
2018-11-28,8956.0
2018-11-29,8361.0
2018-11-30,7879.0
2018-12-01,6027.0
2018-12-02,5725.0
2018-12-03,8262.0
2018-12-04,8363.0
2018-12-05,8773.0
2018-12-06,7841.0
2018-12-07,7927.0
2018-12-08,6434.0
2018-12-09,6024.0
2018-12-10,8682.0
2018-12-11,8376.0
2018-12-12,7742.0
2018-12-13,7607.0
2018-12-14,6943.0
2018-12-15,5548.0
2018-12-16,5628.0
2018-12-17,8198.0
2018-12-18,8170.0
2018-12-19,7883.0
2018-12-20,7008.0
2018-12-21,8064.0
2018-12-22,5367.0
2018-12-23,4719.0
2018-12-24,5318.0
2018-12-25,3872.0
2018-12-26,6428.0
2018-12-27,7019.0
2018-12-28,6923.0
2018-12-29,5153.0
2018-12-30,5112.0
2018-12-31,6270.0
